sda             79,00    0,00  21044,00      0,00     0,00     0,00   0,00   0,00    4,30    0,00   0,34   266,38     0,00   3,14  24,80
sda             73,00    6,00  19452,00     40,00     0,00     4,00   0,00  40,00    6,58    0,00   0,48   266,47     6,67   3,90  30,80
sda             76,00    0,00  20236,00      0,00     0,00     0,00   0,00   0,00    4,79    0,00   0,36   266,26     0,00   3,21  24,40
sda             80,00    0,00  21164,00      0,00     0,00     0,00   0,00   0,00    4,05    0,00   0,32   264,55     0,00   3,05  24,40
sda             75,00    2,00  20240,00     20,00     1,00     3,00   1,32  60,00    5,28   10,00   0,42   269,87    10,00   3,69  28,40
sda             76,00    0,00  20244,00      0,00     0,00     0,00   0,00   0,00    4,68    0,00   0,36   266,37     0,00   3,16  24,00
sda             76,00    0,00  20240,00      0,00     0,00     0,00   0,00   0,00    5,37    0,00   0,41   266,32     0,00   3,58  27,20
sda             79,00    0,00  20932,00      0,00     0,00     0,00   0,00   0,00    4,81    0,00   0,39   264,96     0,00   3,34  26,40
sda             78,00    0,00  20672,00      0,00     0,00     0,00   0,00   0,00    5,23    0,00   0,40   265,03     0,00   3,33  26,00
sda             74,00    2,00  20064,00     20,00     1,00     3,00   1,33  60,00    5,95   12,00   0,48   271,14    10,00   4,26  32,40
sda             77,00    0,00  20420,00      0,00     0,00     0,00   0,00   0,00    4,94    0,00   0,37   265,19     0,00   3,22  24,80
sda             78,00    1,00  20900,00      4,00     0,00     0,00   0,00   0,00    4,92    0,00   0,38   267,95     4,00   3,54  28,00
sda             80,00    0,00  21352,00      0,00     0,00     0,00   0,00   0,00    4,60    0,00   0,37   266,90     0,00   3,35  26,80
sda             74,00    0,00  19848,00      0,00     0,00     0,00   0,00   0,00    5,57    0,00   0,41   268,22     0,00   3,68  27,20
sda             75,00    2,00  20240,00     20,00     1,00     3,00   1,32  60,00    5,55   20,00   0,45   269,87    10,00   3,90  30,00
sda             80,00    0,00  21116,00      0,00     0,00     0,00   0,00   0,00    4,45    0,00   0,36   263,95     0,00   3,10  24,80
sda             78,00    3,00  21008,00    132,00     0,00     1,00   0,00  25,00    5,13    1,33   0,40   269,33    44,00   3,46  28,00
sda             76,00    0,00  20244,00      0,00     0,00     0,00   0,00   0,00    5,53    0,00   0,42   266,37     0,00   3,68  28,00
sda             80,00    0,00  21156,00      0,00     0,00     0,00   0,00   0,00    4,25    0,00   0,34   264,45     0,00   3,05  24,40
sda             78,00    2,00  20932,00     48,00     1,00    10,00   1,27  83,33    4,51   18,00   0,39   268,36    24,00   3,35  26,80
sda             78,00    0,00  20676,00      0,00     0,00     0,00   0,00   0,00    4,62    0,00   0,36   265,08     0,00   3,28  25,60
sda             77,00    0,00  20600,00      0,00     0,00     0,00   0,00   0,00    5,35    0,00   0,41   267,53     0,00   3,53  27,20
sda             78,00    0,00  21056,00      0,00     0,00     0,00   0,00   0,00    4,46    0,00   0,35   269,95     0,00   3,23  25,20
sda             79,00    0,00  20836,00      0,00     0,00     0,00   0,00   0,00    4,46    0,00   0,35   263,75     0,00   3,04  24,00
sda             73,00    2,00  19864,00     20,00     1,00     3,00   1,35  60,00    5,64   38,00   0,49   272,11    10,00   4,27  32,00
sda             76,00    0,00  20224,00      0,00     0,00     0,00   0,00   0,00    5,05    0,00   0,38   266,11     0,00   3,37  25,60
sda             76,00    3,00  20248,00   2048,00     0,00     2,00   0,00  40,00    5,53   12,00   2,23   266,42   682,67   3,90  30,80
sda             12,00   56,00   2560,00  53248,00     0,00     0,00   0,00   0,00   97,00  483,86  92,47   213,33   950,86  14,71 100,00
sda             24,00   46,00   6184,00  44288,00     0,00     0,00   0,00   0,00   63,67  988,43 145,21   257,67   962,78  14,29 100,00
sda             21,00   54,00   5720,00  47872,00     0,00     0,00   0,00   0,00   65,14 2000,37 144,90   272,38   886,52  13,33 100,00
sda             18,00   52,00   4404,00  52516,00     0,00     8,00   0,00  13,33   76,89 2715,77 143,23   244,67  1009,92  14,29 100,00
sda             25,00   42,00   6824,00  42752,00     0,00     0,00   0,00   0,00   69,12 2900,95 142,45   272,96  1017,90  14,93 100,00
sda             21,00   44,00   5320,00  45056,00     0,00     0,00   0,00   0,00   77,14 2973,73 144,89   253,33  1024,00  15,38 100,00
sda             23,00   40,00   6464,00  40960,00     0,00     0,00   0,00   0,00   70,78 3133,30 144,27   281,04  1024,00  15,87 100,00
sda             25,00   42,00   6264,00  43264,00     0,00     0,00   0,00   0,00   63,68 3427,05 144,03   250,56  1030,10  14,93 100,00
sda             21,00   52,00   5496,00  47128,00     0,00     0,00   0,00   0,00   73,71 2970,85 144,20   261,71   906,31  13,70 100,00
sda             23,00   40,00   6236,00  40704,00     0,00     0,00   0,00   0,00   69,57 3426,70 141,76   271,13  1017,60  15,87 100,00
sda             24,00   45,00   6136,00  46336,00     0,00     0,00   0,00   0,00   70,67 3356,53 142,80   255,67  1029,69  14,49 100,00
sda             22,00   42,00   6236,00  43008,00     0,00     0,00   0,00   0,00   70,00 3321,52 118,98   283,45  1024,00  15,62 100,00
sda             25,00   41,00   6264,00  41984,00     0,00     0,00   0,00   0,00   68,00 3257,27  76,60   250,56  1024,00  15,15 100,00
sda             23,00   43,00   6152,00  44032,00     0,00     0,00   0,00   0,00   68,70 3314,14  33,85   267,48  1024,00  15,15 100,00
sda             59,00   15,00  16292,00  12080,00     2,00     9,00   3,28  37,50   11,86 2625,33   2,26   276,14   805,33   7,03  52,00
